taxa	clade
A_chicken_Brong-Ahafo_18VIR1513-13_2017	G1-B
A_chicken_Brong-Ahafo_18VIR1513-11_2017	G1-B
A_chicken_Brong-Ahafo_18VIR1513-5_2017	G1-B
A_Layers_Senegal_17VIR4455-2_2017	G1-B
A_turkey_Morocco_AR166_2018	G1-B
A_chicken_Morocco_AS29_2018	G1-B
A_chicken_Morocco_AS14_2018	G1-B
A_chicken_Morocco_AS13_2018	G1-B
A_chicken_Morocco_SF6_2017	G1-B
A_chicken_Morocco_AS71_2019	G1-B
A_chicken_Morocco_AS76_2019	G1-B
A_chicken_Morocco_AS77_2019	G1-B
A_chicken_Morocco_AS32_2019	G1-B
A_chicken_kenitra_IAPP16S-04P_16w_2016	G1-B
A_chicken_Morocco_SF2_2016	G1-B
A_chicken_Morocco_SF1_2016	G1-B
A_chicken_Morocco_SF5_2016	G1-B
A_broiler_chicken_Casablanca_16VIR9564-1_2016	G1-B
A_chicken_Morocco_SF3_2016	G1-B
A_chicken_Fes_Pmc1_23_2016	G1-B
A_chicken_Morocco_M5_2017	G1-B
A_chicken_Morocco_SF7_2017	G1-B
A_chicken_Morocco_SF4_2016	G1-B
A_chiken_Nador_FCS1_29_2016	G1-B
A_chicken_Algeria_225_2017	G1-B
A_chicken_Algeria_219_2017	G1-B
A_chicken_Algeria_229_2017	G1-B
A_chicken_Algeria_215_2017	G1-B
A_chicken_Algeria_214_2017	G1-B
A_chicken_Algeria_203_2017	G1-B
A_chicken_Algeria_201_2017	G1-B
A_chicken_Algeria_211_2017	G1-B
A_chicken_Algeria_13BBD_2017	G1-B
A_chicken_Algeria_17BBD_2017	G1-B
A_chicken_Algeria_10BBD_2017	G1-B
A_chicken_Algeria_6BBD_2017	G1-B
A_environment_Tunisia_117_2018	G1-B
A_chicken_Dubai_D2506_A_2015	G1-B
A_Oman_2747_2019	G1-B
A_chicken_Saudi_Arabia_ASH-100_1-2_2020	G1-B
A_chicken_Saudi_Arabia_ASH-98_3_2020	G1-B
A_chicken_Jeddah_733_2018	G1-B
A_chicken_Israel_312261_2018	G1-B
A_chicken_Israel_314256_2018	G1-B
A_chicken_Israel_313509_2018	G1-B
